lat,lon,sat,data_pas
  -9.5750,  29.6320,AQUA_M,2015-08-26 11:35:00
  -9.5700,  29.9240,AQUA_M,2015-08-26 11:35:00
  -9.5690,  29.9330,AQUA_M,2015-08-26 11:35:00
  -9.5690,  29.6120,AQUA_M,2015-08-26 11:35:00
  -9.5680,  29.6210,AQUA_M,2015-08-26 11:35:00
  -9.5600,  29.9320,AQUA_M,2015-08-26 11:35:00
  -9.5540,  29.7160,AQUA_M,2015-08-26 11:35:00
  -9.5470,  29.7050,AQUA_M,2015-08-26 11:35:00
  -9.5450,  29.7140,AQUA_M,2015-08-26 11:35:00
  -9.5340,  30.2470,AQUA_M,2015-08-26 11:35:00
  -9.5190,  29.8350,AQUA_M,2015-08-26 11:35:00
  -9.4610,  30.1840,AQUA_M,2015-08-26 11:35:00
  -9.4500,  29.9950,AQUA_M,2015-08-26 11:35:00
  -9.4490,  30.0040,AQUA_M,2015-08-26 11:35:00
  -9.4480,  30.0140,AQUA_M,2015-08-26 11:35:00
  -9.4230,  30.2530,AQUA_M,2015-08-26 11:35:00
  -9.4030,  29.5470,AQUA_M,2015-08-26 11:35:00
  -9.3940,  30.0650,AQUA_M,2015-08-26 11:35:00
  -9.3940,  29.4780,AQUA_M,2015-08-26 11:35:00
  -9.3890,  30.1670,AQUA_M,2015-08-26 11:35:00
  -9.3840,  29.4180,AQUA_M,2015-08-26 11:35:00
  -9.6530,  31.8540,AQUA_M,2015-08-26 11:35:00
  -9.6530,  31.4840,AQUA_M,2015-08-26 11:35:00
  -9.6520,  31.8630,AQUA_M,2015-08-26 11:35:00
  -9.6440,  31.8530,AQUA_M,2015-08-26 11:35:00
  -9.6430,  31.7430,AQUA_M,2015-08-26 11:35:00
  -9.6210,  32.7660,AQUA_M,2015-08-26 11:35:00
  -9.6110,  31.0650,AQUA_M,2015-08-26 11:35:00
  -9.6880,  32.5670,AQUA_M,2015-08-26 11:35:00
  -9.7160,  29.8750,AQUA_M,2015-08-26 11:35:00
  -9.7140,  31.4340,AQUA_M,2015-08-26 11:35:00
  -9.7260,  31.5470,AQUA_M,2015-08-26 11:35:00
  -9.7330,  33.1220,AQUA_M,2015-08-26 11:35:00
  -9.8380,  29.9810,AQUA_M,2015-08-26 11:35:00
